"which(game.dffits$game > game.dffits$cut)"
"1"	3
"2"	165
"3"	192
"4"	196
"5"	266
"6"	301
"7"	305
"8"	409
"9"	436
"10"	528
"11"	541
"12"	547
"13"	599
"14"	606
"15"	653
"16"	742
"17"	751
"18"	756
"19"	770
"20"	782
"21"	783
"22"	885
"23"	897
"24"	914
"25"	923
"26"	1208
"27"	1258
"28"	1290
"29"	1352
"30"	1418
"31"	1432
"32"	1523
"33"	1535
"34"	1647
"35"	1650
"36"	1690
"37"	1729
"38"	1751
"39"	1758
"40"	1825
"41"	1897
"42"	1906
"43"	1907
"44"	1970
"45"	1987
"46"	2078
"47"	2178
"48"	2201
"49"	2254
"50"	2273
"51"	2303
"52"	2310
"53"	2316
"54"	2434
"55"	2452
"56"	2519
"57"	2546
"58"	2570
"59"	2582
"60"	2717
"61"	2770
"62"	2790
"63"	2922
"64"	3036
"65"	3045
"66"	3060
"67"	3067
"68"	3080
"69"	3115
"70"	3242
"71"	3263
"72"	3283
"73"	3352
"74"	3419
"75"	3532
"76"	3581
"77"	3629
"78"	3639
"79"	3703
"80"	3799
"81"	3832
"82"	3912
"83"	3913
"84"	3938
"85"	3940
"86"	3977
"87"	4081
"88"	4391
"89"	4407
"90"	4408
"91"	4409
"92"	4431
"93"	4435
"94"	4479
"95"	4502
"96"	4620
"97"	4636
"98"	4666
"99"	4702
"100"	4847
"101"	5057
"102"	5181
"103"	5242
"104"	5281
"105"	5454
"106"	5530
"107"	5590
"108"	5623
"109"	5654
"110"	5774
"111"	5808
"112"	5912
"113"	5973
"114"	6024
"115"	6054
"116"	6163
"117"	6168
"118"	6175
"119"	6204
"120"	6221
"121"	6282
"122"	6287
"123"	6306
"124"	6335
"125"	6340
"126"	6367
"127"	6383
"128"	6435
"129"	6487
"130"	6550
"131"	6555
"132"	6586
"133"	6633
"134"	6635
"135"	6653
"136"	6661
"137"	6674
"138"	6719
"139"	6781
"140"	6786
"141"	6793
"142"	6935
"143"	6949
"144"	6959
"145"	7019
"146"	7026
"147"	7037
"148"	7209
"149"	7236
"150"	7246
"151"	7322
"152"	7343
"153"	7467
"154"	7473
"155"	7486
"156"	7521
"157"	7585
"158"	7637
"159"	7872
"160"	7931
"161"	7960
"162"	8018
"163"	8176
"164"	8228
"165"	8261
"166"	8269
"167"	8317
"168"	8325
"169"	8340
"170"	8347
"171"	8515
"172"	8683
"173"	8702
"174"	8787
"175"	8791
"176"	8982
"177"	9070
"178"	9082
"179"	9115
"180"	9164
"181"	9168
"182"	9265
"183"	9336
"184"	9349
"185"	9375
"186"	9441
"187"	9479
"188"	9570
"189"	9754
"190"	9974
"191"	10051
"192"	10180
"193"	10331
"194"	10448
"195"	10527
"196"	10543
"197"	10553
"198"	10659
"199"	10674
"200"	10695
"201"	10698
"202"	10772
"203"	10827
"204"	10895
"205"	10950
"206"	10964
"207"	10981
"208"	11060
"209"	11105
"210"	11267
"211"	11321
"212"	11343
"213"	11350
"214"	11463
"215"	11654
"216"	11667
"217"	11679
"218"	11702
"219"	11717
"220"	11748
"221"	11841
"222"	11856
"223"	11893
"224"	11899
"225"	11975
"226"	11995
"227"	12057
"228"	12185
"229"	12277
"230"	12512
"231"	12538
"232"	12570
"233"	12701
"234"	12731
